segment_id,source_line_no,original_start_sec,original_end_sec,original_duration_sec,cut_start_sec,cut_end_sec,cut_duration_sec,ici,file_name,file_path
2445,2446,4344.636396,4345.111656,0.4752600000001621,4344.616395999999,4345.1316560000005,0.5152600000010352,15.0,click_train_02445_start_4344.636s_ici_15.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02445_start_4344.636s_ici_15.0.wav
2446,2447,4345.4335,4345.939552,0.5060519999997268,4345.4135,4345.959552,0.5460520000006,45.0,click_train_02446_start_4345.434s_ici_45.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02446_start_4345.434s_ici_45.0.wav
2447,2448,4346.002932,4346.119771,0.1168389999993451,4345.982932,4346.139771,0.15683900000021822,25.0,click_train_02447_start_4346.003s_ici_25.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02447_start_4346.003s_ici_25.0.wav
2448,2449,4346.556734,4347.290109,0.7333749999997963,4346.536733999999,4347.310109,0.7733750000006694,105.0,click_train_02448_start_4346.557s_ici_105.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02448_start_4346.557s_ici_105.0.wav
2449,2450,4350.416859,4350.634328,0.21746900000016467,4350.3968589999995,4350.6543280000005,0.2574690000010378,45.0,click_train_02449_start_4350.417s_ici_45.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02449_start_4350.417s_ici_45.0.wav
2450,2451,4352.19962,4353.733552,1.5339319999993677,4352.17962,4353.753552,1.5739320000002408,65.0,click_train_02450_start_4352.200s_ici_65.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02450_start_4352.200s_ici_65.0.wav
2451,2452,4354.42488,4354.613182,0.18830200000047626,4354.404879999999,4354.6331820000005,0.22830200000134937,40.0,click_train_02451_start_4354.425s_ici_40.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02451_start_4354.425s_ici_40.0.wav
2452,2453,4355.321047,4355.44076,0.11971300000004703,4355.301047,4355.460760000001,0.15971300000092015,25.0,click_train_02452_start_4355.321s_ici_25.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02452_start_4355.321s_ici_25.0.wav
2453,2454,4356.051766,4356.538672,0.48690600000009,4356.031765999999,4356.558672,0.5269060000009631,55.0,click_train_02453_start_4356.052s_ici_55.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02453_start_4356.052s_ici_55.0.wav
2454,2455,4356.538672,4356.613104,0.07443200000034267,4356.518671999999,4356.6331040000005,0.11443200000121578,5.0,click_train_02454_start_4356.539s_ici_5.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02454_start_4356.539s_ici_5.0.wav
2455,2456,4359.263266,4359.43113,0.16786400000000867,4359.2432659999995,4359.45113,0.2078640000008818,30.0,click_train_02455_start_4359.263s_ici_30.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02455_start_4359.263s_ici_30.0.wav
2456,2457,4359.484255,4360.119234,0.6349789999994755,4359.464255,4360.139234,0.6749790000003486,45.0,click_train_02456_start_4359.484s_ici_45.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02456_start_4359.484s_ici_45.0.wav
2457,2458,4360.233286,4360.330776,0.0974900000001071,4360.213285999999,4360.350776,0.13749000000098022,10.0,click_train_02457_start_4360.233s_ici_10.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02457_start_4360.233s_ici_10.0.wav
2458,2459,4360.330776,4360.563906,0.23313000000052853,4360.310775999999,4360.583906000001,0.27313000000140164,45.0,click_train_02458_start_4360.331s_ici_45.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02458_start_4360.331s_ici_45.0.wav
2459,2460,4361.248286,4361.417026,0.16874000000007072,4361.228286,4361.4370260000005,0.20874000000094384,30.0,click_train_02459_start_4361.248s_ici_30.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02459_start_4361.248s_ici_30.0.wav
2460,2461,4361.466984,4362.163313,0.6963290000003326,4361.446983999999,4362.183313,0.7363290000012057,60.0,click_train_02460_start_4361.467s_ici_60.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02460_start_4361.467s_ici_60.0.wav
2461,2462,4362.163313,4362.303594,0.14028099999995902,4362.143313,4362.323594,0.18028100000083214,25.0,click_train_02461_start_4362.163s_ici_25.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02461_start_4362.163s_ici_25.0.wav
2462,2463,4362.303594,4363.122214,0.8186200000000099,4362.2835939999995,4363.142214,0.858620000000883,40.0,click_train_02462_start_4362.304s_ici_40.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02462_start_4362.304s_ici_40.0.wav
2463,2464,4363.423099,4363.51851,0.09541100000024016,4363.403098999999,4363.53851,0.13541100000111328,5.0,click_train_02463_start_4363.423s_ici_5.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02463_start_4363.423s_ici_5.0.wav
2464,2465,4363.51851,4369.174104,5.655593999999837,4363.498509999999,4369.194104,5.69559400000071,5.0,click_train_02464_start_4363.519s_ici_5.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02464_start_4363.519s_ici_5.0.wav
2465,2466,4369.174104,4369.587792,0.4136880000005476,4369.154103999999,4369.607792000001,0.45368800000142073,55.0,click_train_02465_start_4369.174s_ici_55.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02465_start_4369.174s_ici_55.0.wav
2466,2467,4369.587792,4370.36788,0.7800879999995232,4369.567792,4370.38788,0.8200880000003963,10.0,click_train_02466_start_4369.588s_ici_10.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02466_start_4369.588s_ici_10.0.wav
2467,2468,4370.36788,4370.817203,0.44932299999982206,4370.347879999999,4370.837203,0.4893230000006952,30.0,click_train_02467_start_4370.368s_ici_30.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02467_start_4370.368s_ici_30.0.wav
2468,2469,4370.817203,4371.101359,0.28415600000062113,4370.797202999999,4371.121359000001,0.32415600000149425,15.0,click_train_02468_start_4370.817s_ici_15.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02468_start_4370.817s_ici_15.0.wav
