window_start_sec,window_end_sec,window_mid_min,whistle_count,click_train_count,whistle_cluster0_count,click_cluster0_count,whistle_cluster1_count,click_cluster1_count,whistle_cluster2_count,click_cluster2_count,whistle_cluster0_ratio,click_cluster0_ratio,whistle_cluster1_ratio,click_cluster1_ratio,whistle_cluster2_ratio,click_cluster2_ratio,mean_official_ici,min_official_ici,mean_click_rate,mean_click_energy,mean_whistle_energy,mean_whistle_centroid,mean_whistle_bandwidth,foraging_score,social_score,arousal_score,conflict_like_score,avoidance_stress_score,courtship_affiliative_score,positive_like_score,negative_like_score,final_behavior_candidate,confidence,valence_candidate,arousal_level
3150.0,3180.0,52.75,0,10,0,5,0,0,0,5,0.0,0.5,0.0,0.0,0.0,0.5,20.0,5.0,170.98381541495525,0.19202096238732333,,,,0.6131970397303597,0.06349206349206349,0.0,0.20971435418206097,0.0,0.0,0.18027608622243618,0.06387621443991182,Foraging-like acoustic activity,medium,positive-like candidate,low
3180.0,3210.0,53.25,3,31,1,25,2,1,0,5,0.3333333333333333,0.8064516129032258,0.6666666666666666,0.03225806451612903,0.0,0.16129032258064516,17.741935483870968,5.0,86.31142976672805,0.14732837100182808,0.144506341467301,16468.77575745559,25343.75,0.4194217449880997,0.40349206349206346,0.3982258113883063,0.411893900095101,0.37484212514374904,0.29626068050716936,0.11109033800279591,0.3319631741018242,Foraging-like acoustic activity,low,negative-like candidate,medium
3210.0,3240.0,53.75,7,2,7,0,0,2,0,0,1.0,0.0,0.0,1.0,0.0,0.0,52.5,10.0,87.34630105808378,0.058119663968682206,0.04341836220451761,1819.6537677167378,1526.7857142857142,0.2119352255562546,0.5726984126984127,0.0627270277497951,0.21830831752009314,0.09380010199461139,0.18118938662282574,0.24294909390429406,0.04525860067480483,Social communication candidate,medium,positive-like candidate,low
3240.0,3270.0,54.25,1,3,1,0,0,3,0,0,1.0,0.0,0.0,1.0,0.0,0.0,25.0,20.0,120.21010419810398,0.0411962419748306,0.0395919308066368,1886.6969241021093,1687.5,0.29624768393776013,0.39904761904761904,0.023616683725205045,0.20508478891955603,0.0,0.09359064828567963,0.22173268127377782,0.016645870009742762,Social communication candidate,low,positive-like candidate,low
3270.0,3300.0,54.75,4,14,4,0,0,14,0,0,1.0,0.0,0.0,1.0,0.0,0.0,57.857142857142854,15.0,105.53020944125946,0.042554249188729666,0.043059203773736905,1755.4756195857822,1523.4375,0.21386190191930926,0.5588888888888889,0.042304618355900034,0.24191031809829447,0.06224907449804232,0.22701222266314589,0.23821630161775934,0.03730828519636879,Social communication candidate,medium,positive-like candidate,low
3300.0,3330.0,55.25,6,22,6,10,0,12,0,0,1.0,0.45454545454545453,0.0,0.5454545454545454,0.0,0.0,44.77272727272727,10.0,81.75284713183447,0.053871276026422284,0.0430164989084005,1920.350450578393,1468.75,0.224558638262542,0.6696825396825397,0.05654262537372697,0.2777879983142741,0.055956642436147785,0.30564972030368437,0.2826271061457134,0.033262432628626895,Social communication candidate,high,positive-like candidate,low
3330.0,3360.0,55.75,7,28,3,18,3,7,1,3,0.42857142857142855,0.6428571428571429,0.42857142857142855,0.25,0.14285714285714285,0.10714285714285714,31.964285714285715,5.0,101.33309629367204,0.09860872091459372,0.08120030430810789,12481.518765068065,15522.32142857143,0.3507841910974444,0.5377777777777778,0.3355168336108603,0.3882733247609088,0.24815122479240387,0.3132361158759484,0.18625466325773193,0.23400041487840523,Social communication candidate,medium,unknown / mixed,medium
3360.0,3390.0,56.25,2,34,1,22,1,10,0,2,0.5,0.6470588235294118,0.5,0.29411764705882354,0.0,0.058823529411764705,34.85294117647059,5.0,80.98054731133846,0.08860852700822489,0.07536415383219715,16357.406627679055,19265.625,0.29634907788209913,0.4191269841269841,0.3235075876137481,0.3541076413906231,0.2429821444935764,0.2966110370978364,0.12535149157529651,0.23511210941252947,Social communication candidate,low,negative-like candidate,low
3390.0,3420.0,56.75,1,53,0,35,1,16,0,2,0.0,0.660377358490566,1.0,0.3018867924528302,0.0,0.03773584905660377,31.132075471698112,5.0,74.02602895490692,0.09415433380120201,0.090859904885292,15998.385752476426,24656.25,0.2908119267565223,0.09349206349206349,0.4799056595007947,0.42245332537261554,0.4995119798460538,0.14703742576464857,0.0,0.4545963771874891,Avoidance / stress-like arousal,low,negative-like candidate,medium
3420.0,3450.0,57.25,0,40,0,21,0,17,0,2,0.0,0.525,0.0,0.425,0.0,0.05,30.625,5.0,82.71448813020538,0.08845194196328517,,,,0.303305072214107,0.14603174603174604,0.0,0.2089629043618936,0.0816326662963111,0.07278449992289512,0.08877402310657731,0.08796695445524083,Foraging-like acoustic activity,low,unknown / mixed,low
